%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18
1663498448351195096,0,0.0,0.0,0.479999989271,0.000276338250842,-7.54834036343e-05,0.000783349853009,-0.00483004469424,-0.0405137240887,-5.37309715583e-05,0.999167323112,0.00248789438047,-0.00111447460949,0.0176161676645,-0.00521623436362,-0.000855976948515,-0.00747829675674,-0.0573689006269,10.4411401749,0.898779451847
1663498448370906114,0,0.0,0.0,0.479999989271,0.00020402543305,-0.000117065494123,0.00126883410849,-0.00482243858278,-0.0405483432114,-7.47175727156e-05,0.999165952206,0.00081624626182,-0.00110142945778,0.0241063889116,-0.00206687673926,0.00229795090854,-0.00218337029219,-0.0764918699861,10.4220170975,0.91790241003
1663498448390718936,0,0.0,0.0,0.479999989271,0.00020402543305,-0.000117065494123,0.00126883410849,-0.00482243858278,-0.0405483432114,-7.47175727156e-05,0.999165952206,0.00081624626182,-0.00110142945778,0.0241063889116,-0.00206687673926,0.00229795090854,-0.00218337029219,-0.0573689006269,10.4220170975,0.91790241003
1663498448411037921,0,0.0,0.0,0.479999989271,0.000237932108575,-6.62179809297e-05,0.000609713315498,-0.00488714687526,-0.0404792055488,-6.55249386909e-05,0.999168395996,-0.000521836860571,-0.000292007549433,0.0136743783951,-0.00214203819633,0.00125690177083,-0.00635486794636,-0.0573689006269,10.4220170975,0.91790241003
1663498448430634021,0,0.0,0.0,0.479999989271,0.000237932108575,-6.62179809297e-05,0.000609713315498,-0.00488714687526,-0.0404792055488,-6.55249386909e-05,0.999168395996,-0.000521836860571,-0.000292007549433,0.0136743783951,-0.00214203819633,0.00125690177083,-0.00635486794636,-0.0573689006269,10.4411401749,0.91790241003
1663498448450956106,0,0.0,0.0,0.479999989271,0.000266498624114,-5.41980261914e-05,0.000885367509909,-0.00489003956318,-0.0404804013669,-6.2217201048e-05,0.999168336391,0.00142634811345,1.07026089609e-05,0.0183492414653,-0.00207967567258,-0.00185618165415,-0.00842943973839,-0.0764918699861,10.4411401749,0.91790241003
1663498448470659971,0,0.0,0.0,0.479999989271,0.000266498624114,-5.41980261914e-05,0.000885367509909,-0.00489003956318,-0.0404804013669,-6.2217201048e-05,0.999168336391,0.00142634811345,1.07026089609e-05,0.0183492414653,-0.00207967567258,-0.00185618165415,-0.00842943973839,-0.0573689006269,10.4220170975,0.91790241003
1663498448490623950,0,0.0,0.0,0.479999989271,0.000224133982556,-9.63208876783e-05,0.00102305854671,-0.00484770350158,-0.0404956899583,-5.46389564988e-05,0.999167978764,0.000406584033044,-0.00106877891812,0.0198929309845,0.00321592041291,0.00449084211141,0.00431381259114,-0.0573689006269,10.4220170975,0.937025427818
1663498448510795116,0,0.0,0.0,0.479999989271,0.000224133982556,-9.63208876783e-05,0.00102305854671,-0.00484770350158,-0.0404956899583,-5.46389564988e-05,0.999167978764,0.000406584033044,-0.00106877891812,0.0198929309845,0.00321592041291,0.00449084211141,0.00431381259114,-0.0764918699861,10.4411401749,0.91790241003
1663498448530816078,0,0.0,0.0,0.479999989271,0.000224133982556,-9.63208876783e-05,0.00102305854671,-0.00484770350158,-0.0404956899583,-5.46389564988e-05,0.999167978764,0.000406584033044,-0.00106877891812,0.0198929309845,0.00321592041291,0.00449084211141,0.00431381259114,-0.0573689006269,10.4411401749,0.937025427818
